"filename", "language", "PHP", "TypeScript JSX", "JavaScript", "JSON", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\public\build\assets\data-table-Cnc7GZMm.js", "JavaScript", 0, 0, 6, 0, 0, 16, 1, 23
"c:\xampp\htdocs\pdl-is\public\build\assets\data-table-j-gwovtj.js", "JavaScript", 0, 0, -6, 0, 0, -16, -1, -23
"c:\xampp\htdocs\pdl-is\public\build\assets\detail-oeYKesmf.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\download-BKqJGcMM.js", "JavaScript", 0, 0, 2, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\dropdown-menu-BQjRxx1t.js", "JavaScript", 0, 0, 2, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\dropdown-menu-CMrTdwkl.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\drug-clearing-certificate-ZD9r5g5Q.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\drug-related-cases-monthly-D6xgn0xF.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\ellipsis-DzfNUrwQ.js", "JavaScript", 0, 0, -2, 0, 0, -4, -1, -7
"c:\xampp\htdocs\pdl-is\public\build\assets\eye-B8lowLFn.js", "JavaScript", 0, 0, 2, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\eye-Bac0spqN.js", "JavaScript", 0, 0, -2, 0, 0, -4, -1, -7
"c:\xampp\htdocs\pdl-is\public\build\assets\eye-off-CCxCyiMC.js", "JavaScript", 0, 0, -2, 0, 0, -4, -1, -7
"c:\xampp\htdocs\pdl-is\public\build\assets\eye-off-COyWUic6.js", "JavaScript", 0, 0, 2, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\forgot-password-BnaBJ1JL.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\forgot-password-D8ndBohQ.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\format-B3rlCQGj.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\format-CpNbv1J2.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\gcta-tastm-report-AME5nrgP.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\gcta-tastm-report-CdudrF_a.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\health-assessment-D4AH_V49.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\health-assessment-DX5A_HmF.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
